transaction_id,customer_id,card_id,account_id,timestamp,ingestion_timestamp,amount,currency,transaction_type,payment_channel,card_present,international_transaction,installment,is_recurring,merchant_id,merchant_category,device_id,device_type,operating_system,browser,country,state,city,latitude,longitude,ip_country,ip_region,ip_city,previous_transaction_time,previous_amount,previous_city,previous_device_id,time_since_previous_transaction_sec,customer_avg_amount,customer_median_amount,customer_max_amount,amount_vs_customer_average,amount_vs_customer_median,amount_zscore,transaction_count_1min,transaction_count_5min,transaction_count_15min,transaction_count_1h,transaction_count_24h,amount_sum_1min,amount_sum_5min,amount_sum_15min,amount_sum_1h,amount_sum_24h,hour,day_of_week,is_weekend,is_night,is_new_device,device_card_count,device_customer_count,distance_from_previous_km,estimated_travel_speed_kmh,is_new_location,same_amount_count_5min,micro_transaction_count_5min,micro_to_large_sequence,is_new_merchant,card_previous_fraud_count,device_previous_fraud_count,merchant_previous_fraud_count,rapid_escalation_flag,small_amount_then_large_transaction,is_outside_typical_hours,is_fraud,fraud_category,fraud_subcategory
TXN_005323,CUST_01551,CARD_03109,ACC_03109,2026-01-01 00:34:00,2026-01-01 00:34:07,3986.2,INR,ONLINE_PURCHASE,WEB,0,0,0,0,MERCH_0862,Electronics,DEV_02650,MOBILE,iOS,Safari,India,Gujarat,Ahmedabad,23.012185247440392,72.56311511382478,India,Gujarat,Ahmedabad,,0.0,,,-1.0,1855.505,1855.505,1855.505,2.148310028806174,2.148310028806174,1.1476914955790583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,1,1,0,0,0.0,0.0,0,0.0,0.0,0,1,0.0,0.0,0.0,0,0,1,0,NONE,NONE
TXN_013475,CUST_01587,CARD_02123,ACC_02123,2026-01-01 00:59:00,2026-01-01 00:59:04,4325.69,INR,PURCHASE,POS,1,0,0,0,MERCH_0637,Food,DEV_01723,MOBILE,Android,Safari,India,Telangana,Hyderabad,17.385481691658875,78.4894534355123,India,Telangana,Hyderabad,,0.0,,,-1.0,1855.505,1855.505,1855.505,2.3312736963791525,2.3312736963791525,1.3305566104050348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,1,1,0,0,0.0,0.0,0,0.0,0.0,0,1,0.0,0.0,0.0,0,0,1,0,NONE,NONE
TXN_007505,CUST_00980,CARD_00302,ACC_00302,2026-01-01 02:21:00,2026-01-01 02:21:08,1045.2,INR,ONLINE_PURCHASE,WEB,0,0,0,0,MERCH_0407,Travel,DEV_00179,TABLET,iOS,Safari,India,Maharashtra,Mumbai,19.040161722114142,72.88613855419642,India,Maharashtra,Mumbai,,0.0,,,-1.0,1855.505,1855.505,1855.505,0.5632967844333483,0.5632967844333483,-0.43646798688934313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,0,1,1,0,0,0.0,0.0,0,0.0,0.0,0,1,0.0,0.0,0.0,0,0,1,0,NONE,NONE
TXN_014723,CUST_01062,CARD_00764,ACC_00764,2026-01-01 02:26:00,2026-01-01 02:26:04,2564.27,INR,ONLINE_PURCHASE,WEB,0,0,0,0,MERCH_0747,Clothing,DEV_03135,MOBILE,Android,Safari,India,Karnataka,Bengaluru,12.963660499946554,77.60368274680191,India,Karnataka,Bengaluru,,0.0,,,-1.0,1855.505,1855.505,1855.505,1.381979568904422,1.381979568904422,0.3817738169301994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,0,1,1,0,0,0.0,0.0,0,0.0,0.0,0,1,0.0,0.0,0.0,0,0,1,0,NONE,NONE
TXN_012574,CUST_00882,CARD_02068,ACC_02068,2026-01-01 02:27:00,2026-01-01 02:27:00,830.73,INR,ONLINE_PURCHASE,WEB,0,0,0,0,MERCH_0502,Clothing,DEV_00682,MOBILE,Windows,Chrome,India,Telangana,Hyderabad,17.402524920503694,78.46920535981478,India,Telangana,Hyderabad,,0.0,,,-1.0,1855.505,1855.505,1855.505,0.4477110005092953,0.4477110005092953,-0.551991510930485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,0,1,1,0,0,0.0,0.0,0,0.0,0.0,0,1,0.0,0.0,0.0,0,0,1,0,NONE,NONE
TXN_001132,CUST_02183,CARD_02269,ACC_02269,2026-01-01 02:56:00,2026-01-01 02:56:00,40573.34,INR,ONLINE_PURCHASE,WEB,0,0,0,0,MERCH_1152,Electronics,DEV_01456,MOBILE,Android,Chrome,India,Gujarat,Surat,21.15159141863276,72.83651386744584,India,Gujarat,Surat,,0.0,,,-1.0,1855.505,1855.505,1855.505,21.86646761932735,21.86646761932735,20.85522796868309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,0,1,1,0,0,0.0,0.0,0,0.0,0.0,0,1,0.0,0.0,0.0,0,0,1,1,AMOUNT_ANOMALY,SUDDEN_HIGH_VALUE
TXN_000909,CUST_02004,CARD_04581,ACC_04581,2026-01-01 03:31:00,2026-01-01 03:31:06,2110.68,INR,ONLINE_PURCHASE,WEB,0,0,0,0,MERCH_0246,Fuel,DEV_02468,MOBILE,Android,Chrome,India,Karnataka,Bengaluru,12.9752087113659,77.59556442317881,India,Karnataka,Bengaluru,,0.0,,,-1.0,1855.505,1855.505,1855.505,1.137523207967642,1.137523207967642,0.13744913156711117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,0,1,1,0,0,0.0,0.0,0,0.0,0.0,0,1,0.0,0.0,0.0,0,0,1,0,NONE,NONE
TXN_011526,CUST_01754,CARD_04375,ACC_04375,2026-01-01 03:40:00,2026-01-01 03:40:08,4157.02,INR,PURCHASE,MOBILE,1,0,0,0,MERCH_0992,Fuel,DEV_02171,MOBILE,Android,Safari,India,Gujarat,Surat,21.172549110794385,72.83915421384683,India,Gujarat,Surat,,0.0,,,-1.0,1855.505,1855.505,1855.505,2.240371219694908,2.240371219694908,1.2397030980255912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,0,1,1,0,0,0.0,0.0,0,0.0,0.0,0,1,0.0,0.0,0.0,0,0,1,0,NONE,NONE
TXN_013908,CUST_01292,CARD_03937,ACC_03937,2026-01-01 03:59:00,2026-01-01 03:59:07,8698.34,INR,ONLINE_PURCHASE,WEB,0,0,0,0,MERCH_0361,Travel,DEV_01569,DESKTOP,iOS,Chrome,India,Gujarat,Ahmedabad,23.000384637088697,72.58914599211259,India,Gujarat,Ahmedabad,,0.0,,,-1.0,1855.505,1855.505,1855.505,4.687855866731698,4.687855866731698,3.685869415918621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,0,1,1,0,0,0.0,0.0,0,0.0,0.0,0,1,0.0,0.0,0.0,0,0,1,0,NONE,NONE
TXN_007615,CUST_02256,CARD_03166,ACC_03166,2026-01-01 04:05:00,2026-01-01 04:05:04,1457.34,INR,PURCHASE,POS,1,0,0,0,MERCH_1169,Travel,DEV_02841,DESKTOP,Android,Safari,India,Rajasthan,Jaipur,26.912748299432064,75.77789834831235,India,Rajasthan,Jaipur,,0.0,,,-1.0,1855.505,1855.505,1855.505,0.7854142133812627,0.7854142133812627,-0.21447020072663428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3,0,1,1,0,0,0.0,0.0,0,0.0,0.0,0,1,0.0,0.0,0.0,0,0,1,0,NONE,NONE
